Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
21.00,0.860681744,0.101198687,0.028421269,0.0096983
22.00,0.816176284,0.13604359,0.036042907,0.011737219
23.00,0.763741658,0.176949488,0.045170557,0.014138298
24.00,0.703983305,0.223103732,0.055961792,0.01695117
25.00,0.638103143,0.273110559,0.06855696,0.020229338
26.00,0.567846679,0.325053338,0.083070068,0.024029915
27.00,0.495370796,0.376636614,0.099579335,0.028413255
28.00,0.423047808,0.425391804,0.118117942,0.033442446
29.00,0.353235047,0.468916731,0.138665557,0.039182665
30.00,0.288046866,0.505111457,0.161141287,0.04570039
31.00,0.229165413,0.532373438,0.185398671,0.053062478
32.00,0.177717976,0.54972368,0.211223242,0.061335102
33.00,0.134234472,0.556849844,0.238333115,0.070582569
34.00,0.098682731,0.554068391,0.266382838,0.08086604
35.00,0.070565489,0.542221785,0.294970574,0.092242153
36.00,0.049054516,0.522535431,0.323648445,0.104761608
37.00,0.033135258,0.496461371,0.351935652,0.118467719
38.00,0.021739033,0.465532225,0.379333752,0.13339499
39.00,0.013847261,0.431241648,0.405343352,0.14956774
40.00,0.008560819,0.394959031,0.429481316,0.166998834
41.00,0.005135291,0.357878589,0.451297568,0.185688552
42.00,0.002988119,0.32099767,0.47039057,0.205623641
43.00,0.001686208,0.285116532,0.486420671,0.226776589
44.00,0.000922599,0.250851595,0.499120644,0.249105162
45.00,0.000489352,0.218655475,0.508302955,0.272552218
46.00,0.000251572,0.188839094,0.513863494,0.29704584
47.00,0.000125335,0.161593114,0.515781772,0.322499779
48.00,6.05E-05,0.137007498,0.514117766,0.348814231
49.00,2.83E-05,0.115088973,0.509005808,0.375876921
50.00,1.28E-05,0.09577664,0.500646043,0.403564496
51.00,5.63E-06,0.078956098,0.489294092,0.431744184
52.00,2.39E-06,0.064472342,0.475249571,0.460275695
53.00,9.85E-07,0.052141563,0.458844146,0.489013306
54.00,3.92E-07,0.04176182,0.440429693,0.517808095
55.00,1.52E-07,0.033122491,0.420367113,0.546510245
56.00,5.66E-08,0.026012379,0.39901618,0.574971384
57.00,2.05E-08,0.02022637,0.376726728,0.603046881
58.00,7.18E-09,0.015570621,0.353831327,0.630598045
59.00,2.43E-09,0.0118663,0.330639525,0.657494172
60.00,7.99E-10,0.008951984,0.307433621,0.683614394
61.00,2.54E-10,0.006684866,0.284465855,0.708849278
62.00,7.82E-11,0.00494097,0.261956886,0.733102144
63.00,2.33E-11,0.003614563,0.240095355,0.756290083
64.00,6.71E-12,0.002616996,0.219038355,0.778344649
65.00,1.87E-12,0.001875144,0.19891262,0.799212236
66.00,5.05E-13,0.001329636,0.179816239,0.818854125
67.00,1.32E-13,0.000932997,0.161820765,0.837246237
68.00,3.34E-14,0.000647831,0.144973569,0.8543786
69.00,8.22E-15,0.000445105,0.129300327,0.870254568
70.00,1.89E-15,0.000302599,0.11480757,0.884889831
71.00,4.44E-16,0.000203547,0.101485212,0.89831124
72.00,1.11E-16,0.00013547,0.089309016,0.910555515
73.00,0,8.92E-05,0.078242947,0.921667849
74.00,0,5.81E-05,0.068241405,0.93170048
75.00,0,3.75E-05,0.059251296,0.940711246
76.00,0,2.39E-05,0.051213941,0.948762174
77.00,0,1.51E-05,0.044066807,0.955918126
78.00,0,9.40E-06,0.037745057,0.96224554
79.00,0,5.81E-06,0.032182922,0.967811273
80.00,0,3.55E-06,0.027314881,0.972681574
81.00,0,2.14E-06,0.023076667,0.976921191
82.00,0,1.28E-06,0.019406104,0.980592616
83.00,0,7.57E-07,0.016243766,0.983755477
84.00,0,4.43E-07,0.013533497,0.986466061
85.00,0,2.56E-07,0.011222774,0.98877697
86.00,0,1.46E-07,0.009262955,0.990736898
87.00,0,8.29E-08,0.007609402,0.992390515
88.00,0,4.64E-08,0.006221511,0.993778443
89.00,0,2.57E-08,0.005062658,0.994937316
90.00,0,1.41E-08,0.004100076,0.99589991
91.00,0,7.62E-09,0.003304681,0.996695312
92.00,0,4.08E-09,0.00265085,0.997349146
93.00,0,2.16E-09,0.002116181,0.997883817
94.00,0,1.13E-09,0.001681229,0.99831877
95.00,0,5.88E-10,0.001329235,0.998670764
96.00,0,3.02E-10,0.001045857,0.998954142
97.00,0,1.53E-10,0.000818906,0.999181094
98.00,0,7.67E-11,0.000638089,0.999361911
99.00,0,3.80E-11,0.000494777,0.999505223
100.00,0,1.87E-11,0.000381782,0.999618218
